ric,position_type,knowledge_date,effective_date,account,direction,qty,purpose
F.L,TD,2016-03-21,2016-03-24,ICP1658,Debit,1200,Outright
APPL.N,TD,2017-04-08,2017-04-11,ICP0883,Credit,1900,Outright
AMZN.N,SD,2016-11-26,2016-11-26,ICP4572,Debit,300,Outright
IBM.L,SD,2017-07-13,2017-07-13,ICP0411,Debit,1200,Outright
F.N,TD,2016-08-22,2016-08-25,ICP3222,Debit,900,Outright
AMZN.N,TD,2016-06-14,2016-06-17,ICP1875,Debit,1800,Outright
IBM.N,SD,2017-04-18,2017-04-18,ICP4573,Credit,400,Outright
IBM.OQ,SD,2016-05-14,2016-05-14,ICP8018,Debit,300,Outright
F.L,TD,2016-09-12,2016-09-15,ICP5866,Credit,600,Outright
APPL.L,TD,2016-02-09,2016-02-12,ICP4030,Debit,1200,Outright
DIS.L,SD,2016-02-21,2016-02-21,ICP9588,Debit,600,Outright
IBM.OQ,TD,2017-02-23,2017-02-26,ICP4148,Debit,1300,Outright
IBM.OQ,TD,2017-09-03,2017-09-06,ICP2339,Debit,100,Outright
IBM.OQ,SD,2016-12-17,2016-12-17,ICP5046,Credit,100,Outright
IBM.L,SD,2017-05-07,2017-05-07,ICP9106,Debit,100,Outright
FB.OQ,SD,2016-06-08,2016-06-08,ICP6233,Debit,1400,Outright
TSLA.OQ,SD,2017-11-13,2017-11-13,ICP0943,Debit,1500,Outright
DIS.OQ,TD,2017-10-16,2017-10-19,ICP1696,Debit,600,Outright
GOOGL.OQ,SD,2016-10-19,2016-10-19,ICP8245,Debit,300,Outright
F.N,TD,2016-11-15,2016-11-18,ICP4701,Credit,1100,Outright
APPL.OQ,SD,2017-02-15,2017-02-15,ICP8202,Debit,300,Outright
GOOGL.L,TD,2016-08-10,2016-08-13,ICP6815,Credit,200,Outright
AMZN.OQ,SD,2017-09-09,2017-09-09,ICP4639,Credit,1700,Outright
F.OQ,SD,2016-09-20,2016-09-20,ICP2678,Credit,500,Outright
F.L,SD,2017-06-19,2017-06-19,ICP3518,Credit,1700,Outright
AMZN.OQ,SD,2017-07-04,2017-07-04,ICP1620,Credit,1800,Outright
TSLA.N,SD,2017-12-19,2017-12-19,ICP3140,Debit,1800,Outright
GOOGL.L,TD,2017-11-08,2017-11-11,ICP9559,Credit,1300,Outright
DIS.N,TD,2016-07-20,2016-07-23,ICP0291,Debit,600,Outright
F.OQ,SD,2017-01-09,2017-01-09,ICP7050,Debit,300,Outright
TSLA.L,SD,2017-04-02,2017-04-02,ICP8965,Credit,1400,Outright
TSLA.N,SD,2016-01-07,2016-01-07,ICP9930,Debit,1400,Outright
TSLA.N,TD,2016-04-02,2016-04-05,ICP0438,Credit,500,Outright
APPL.OQ,SD,2017-03-11,2017-03-11,ICP6277,Credit,200,Outright
TSLA.OQ,TD,2016-01-15,2016-01-18,ICP1977,Debit,1900,Outright
TSLA.N,TD,2016-07-05,2016-07-08,ICP2081,Credit,1500,Outright
DIS.L,TD,2017-12-13,2017-12-16,ICP9463,Credit,600,Outright
FB.L,SD,2017-05-10,2017-05-10,ICP8262,Debit,900,Outright
TSLA.L,TD,2016-11-15,2016-11-18,ICP3636,Credit,1900,Outright
F.N,TD,2016-10-01,2016-10-04,ICP9818,Credit,1500,Outright
APPL.L,TD,2017-07-06,2017-07-09,ICP7707,Debit,1300,Outright
DIS.N,TD,2016-11-16,2016-11-19,ICP2394,Credit,1800,Outright
F.L,SD,2016-06-16,2016-06-16,ICP1139,Credit,2000,Outright
GOOGL.N,TD,2017-03-12,2017-03-15,ICP6777,Debit,1500,Outright
F.OQ,SD,2017-11-17,2017-11-17,ICP2774,Debit,900,Outright
FB.L,SD,2017-06-02,2017-06-02,ICP0552,Debit,1600,Outright
FB.OQ,TD,2017-06-23,2017-06-26,ICP5488,Debit,1900,Outright
F.N,SD,2017-06-28,2017-06-28,ICP1845,Debit,200,Outright
FB.OQ,TD,2016-11-06,2016-11-09,ICP7978,Debit,500,Outright
AMZN.OQ,SD,2017-07-03,2017-07-03,ICP7531,Debit,600,Outright
DIS.OQ,TD,2016-03-11,2016-03-14,ICP0489,Debit,1000,Outright
F.N,TD,2017-12-25,2017-12-28,ICP8837,Credit,700,Outright
DIS.OQ,TD,2016-03-10,2016-03-13,ICP9473,Debit,1900,Outright
DIS.OQ,SD,2016-07-06,2016-07-06,ICP6337,Debit,100,Outright
FB.OQ,TD,2017-11-02,2017-11-05,ICP7510,Debit,600,Outright
F.N,SD,2017-04-21,2017-04-21,ICP8306,Debit,1100,Outright
TSLA.OQ,TD,2017-07-06,2017-07-09,ICP3337,Credit,1100,Outright
AMZN.L,SD,2017-12-27,2017-12-27,ICP2438,Credit,100,Outright
DIS.OQ,SD,2017-10-13,2017-10-13,ICP3550,Credit,1400,Outright
AMZN.N,TD,2016-07-18,2016-07-21,ICP5671,Credit,1400,Outright
AMZN.L,SD,2017-03-01,2017-03-01,ICP9990,Credit,1900,Outright
DIS.OQ,SD,2016-03-07,2016-03-07,ICP7165,Credit,1900,Outright
TSLA.N,SD,2016-01-24,2016-01-24,ICP6088,Debit,1200,Outright
F.N,SD,2017-09-05,2017-09-05,ICP0586,Debit,1500,Outright
GOOGL.L,TD,2017-01-18,2017-01-21,ICP2843,Credit,1000,Outright
DIS.N,TD,2016-12-27,2016-12-30,ICP6436,Debit,900,Outright
IBM.L,SD,2017-06-01,2017-06-01,ICP7468,Debit,1900,Outright
F.N,SD,2016-09-07,2016-09-07,ICP9135,Credit,1700,Outright
IBM.N,SD,2016-01-17,2016-01-17,ICP6916,Credit,1200,Outright
F.OQ,SD,2016-11-08,2016-11-08,ICP8325,Credit,1100,Outright
TSLA.L,SD,2016-06-20,2016-06-20,ICP0411,Credit,100,Outright
DIS.N,TD,2017-06-01,2017-06-04,ICP2448,Debit,1100,Outright
TSLA.OQ,SD,2017-09-25,2017-09-25,ICP8433,Debit,1500,Outright
TSLA.OQ,SD,2017-04-01,2017-04-01,ICP5398,Debit,1200,Outright
FB.L,SD,2017-10-25,2017-10-25,ICP0879,Debit,1500,Outright
F.OQ,TD,2016-11-21,2016-11-24,ICP6082,Credit,100,Outright
DIS.N,SD,2016-03-10,2016-03-10,ICP8569,Debit,800,Outright
AMZN.L,TD,2016-11-19,2016-11-22,ICP9811,Debit,2000,Outright
TSLA.N,SD,2016-11-02,2016-11-02,ICP6982,Debit,1400,Outright
FB.N,TD,2016-12-25,2016-12-28,ICP6810,Credit,1700,Outright
APPL.OQ,TD,2017-10-18,2017-10-21,ICP3234,Credit,400,Outright
GOOGL.L,TD,2017-03-16,2017-03-19,ICP2847,Debit,1600,Outright
TSLA.N,TD,2016-12-17,2016-12-20,ICP1118,Credit,1900,Outright
F.N,TD,2016-01-25,2016-01-28,ICP6821,Credit,1600,Outright
TSLA.N,SD,2017-12-27,2017-12-27,ICP5368,Credit,1700,Outright
GOOGL.L,SD,2017-10-03,2017-10-03,ICP0403,Credit,2000,Outright
AMZN.L,SD,2017-12-05,2017-12-05,ICP2956,Debit,500,Outright
DIS.N,TD,2017-03-14,2017-03-17,ICP2059,Debit,300,Outright
APPL.OQ,SD,2017-09-04,2017-09-04,ICP4181,Debit,1200,Outright
IBM.OQ,TD,2017-09-14,2017-09-17,ICP0898,Credit,1800,Outright
DIS.OQ,SD,2017-02-09,2017-02-09,ICP6169,Credit,2000,Outright
AMZN.OQ,SD,2017-05-22,2017-05-22,ICP9057,Credit,400,Outright
GOOGL.OQ,TD,2017-09-11,2017-09-14,ICP9130,Credit,1600,Outright
APPL.N,TD,2017-08-28,2017-08-31,ICP7408,Credit,1500,Outright
GOOGL.L,SD,2016-06-24,2016-06-24,ICP2334,Debit,600,Outright
IBM.N,SD,2016-08-15,2016-08-15,ICP6973,Debit,1800,Outright
TSLA.OQ,TD,2016-08-06,2016-08-09,ICP9496,Debit,400,Outright
FB.L,TD,2016-09-17,2016-09-20,ICP1694,Credit,400,Outright
APPL.L,SD,2017-10-02,2017-10-02,ICP4583,Credit,2000,Outright
IBM.L,TD,2017-06-14,2017-06-17,ICP0670,Credit,1500,Outright
DIS.L,SD,2016-02-16,2016-02-16,ICP4652,Debit,100,Outright
DIS.L,TD,2017-08-05,2017-08-08,ICP5641,Credit,300,Outright
IBM.OQ,TD,2016-09-12,2016-09-15,ICP7009,Debit,200,Outright
AMZN.OQ,SD,2016-03-03,2016-03-03,ICP0701,Credit,1600,Outright
IBM.L,SD,2016-12-08,2016-12-08,ICP3307,Debit,600,Outright
AMZN.L,TD,2016-05-10,2016-05-13,ICP4907,Credit,1400,Outright
DIS.L,TD,2017-09-26,2017-09-29,ICP4478,Debit,700,Outright
IBM.L,SD,2017-01-09,2017-01-09,ICP4733,Debit,600,Outright
AMZN.N,TD,2017-09-08,2017-09-11,ICP2279,Debit,1400,Outright
APPL.L,TD,2016-06-07,2016-06-10,ICP2275,Debit,1400,Outright
GOOGL.N,SD,2016-03-24,2016-03-24,ICP7877,Credit,1500,Outright
AMZN.L,TD,2017-10-25,2017-10-28,ICP2182,Debit,1100,Outright
TSLA.OQ,SD,2017-09-07,2017-09-07,ICP7742,Debit,400,Outright
FB.OQ,SD,2017-07-01,2017-07-01,ICP8860,Credit,1100,Outright
FB.OQ,TD,2017-11-04,2017-11-07,ICP8585,Debit,1000,Outright
GOOGL.OQ,TD,2016-11-18,2016-11-21,ICP4206,Credit,1800,Outright
TSLA.N,TD,2017-12-23,2017-12-26,ICP7151,Credit,1800,Outright
GOOGL.N,SD,2017-06-05,2017-06-05,ICP8828,Debit,1000,Outright
GOOGL.L,SD,2016-01-17,2016-01-17,ICP6036,Credit,300,Outright
AMZN.OQ,SD,2016-12-13,2016-12-13,ICP3475,Debit,1000,Outright
IBM.L,SD,2016-02-21,2016-02-21,ICP8351,Credit,1400,Outright
DIS.OQ,TD,2017-07-04,2017-07-07,ICP3113,Credit,1500,Outright
F.N,TD,2016-09-06,2016-09-09,ICP0217,Debit,1800,Outright
TSLA.N,SD,2016-05-14,2016-05-14,ICP5932,Credit,1200,Outright
IBM.N,TD,2016-04-14,2016-04-17,ICP5479,Credit,1200,Outright
APPL.N,TD,2016-02-11,2016-02-14,ICP9030,Debit,1800,Outright
IBM.N,TD,2016-02-22,2016-02-25,ICP3454,Credit,200,Outright
GOOGL.OQ,SD,2016-10-01,2016-10-01,ICP0015,Debit,300,Outright
TSLA.N,SD,2016-09-01,2016-09-01,ICP7953,Credit,1300,Outright
FB.N,TD,2017-06-05,2017-06-08,ICP9097,Credit,100,Outright
DIS.OQ,SD,2017-02-06,2017-02-06,ICP0669,Credit,800,Outright
DIS.L,TD,2016-12-01,2016-12-04,ICP2157,Credit,2000,Outright
IBM.L,SD,2016-02-06,2016-02-06,ICP0865,Debit,200,Outright
TSLA.N,SD,2016-03-06,2016-03-06,ICP4713,Credit,1700,Outright
F.N,TD,2016-01-08,2016-01-11,ICP9933,Credit,2000,Outright
GOOGL.OQ,TD,2016-07-26,2016-07-29,ICP0140,Credit,2000,Outright
FB.L,SD,2017-05-19,2017-05-19,ICP5113,Debit,400,Outright
AMZN.N,TD,2016-06-16,2016-06-19,ICP1497,Debit,2000,Outright
AMZN.N,TD,2017-03-03,2017-03-06,ICP8306,Credit,800,Outright
TSLA.OQ,TD,2016-03-12,2016-03-15,ICP1342,Credit,1500,Outright
APPL.L,TD,2017-03-08,2017-03-11,ICP9174,Credit,700,Outright
AMZN.N,SD,2016-07-16,2016-07-16,ICP9032,Debit,700,Outright
TSLA.N,SD,2017-03-17,2017-03-17,ICP1710,Credit,2000,Outright
F.OQ,TD,2017-03-11,2017-03-14,ICP0179,Credit,1300,Outright
DIS.N,SD,2017-06-22,2017-06-22,ICP4963,Debit,400,Outright
FB.N,TD,2017-09-02,2017-09-05,ICP2492,Credit,1900,Outright
GOOGL.L,TD,2016-11-26,2016-11-29,ICP6570,Debit,1900,Outright
FB.L,SD,2017-11-03,2017-11-03,ICP7332,Credit,600,Outright
FB.OQ,SD,2016-07-13,2016-07-13,ICP6046,Debit,1600,Outright
IBM.N,SD,2017-08-19,2017-08-19,ICP2588,Credit,1600,Outright
APPL.L,TD,2016-01-23,2016-01-26,ICP3386,Debit,1100,Outright
APPL.N,SD,2017-10-28,2017-10-28,ICP4313,Debit,700,Outright
AMZN.L,TD,2017-06-11,2017-06-14,ICP8910,Credit,200,Outright
AMZN.OQ,TD,2016-05-22,2016-05-25,ICP9739,Debit,300,Outright
APPL.N,TD,2016-09-26,2016-09-29,ICP5345,Debit,1200,Outright
GOOGL.L,TD,2016-11-18,2016-11-21,ICP3887,Credit,400,Outright
TSLA.OQ,SD,2017-08-28,2017-08-28,ICP5965,Credit,1600,Outright
GOOGL.L,SD,2017-04-21,2017-04-21,ICP0100,Credit,400,Outright
FB.OQ,TD,2017-11-08,2017-11-11,ICP3738,Debit,600,Outright
GOOGL.L,TD,2017-01-12,2017-01-15,ICP2249,Credit,1300,Outright
GOOGL.N,SD,2016-07-09,2016-07-09,ICP1885,Credit,300,Outright
GOOGL.OQ,SD,2017-04-07,2017-04-07,ICP8795,Debit,1600,Outright
APPL.OQ,TD,2017-03-20,2017-03-23,ICP4421,Debit,1700,Outright
IBM.N,TD,2017-06-26,2017-06-29,ICP7346,Debit,300,Outright
AMZN.OQ,TD,2016-08-14,2016-08-17,ICP3959,Debit,500,Outright
TSLA.N,SD,2016-02-17,2016-02-17,ICP6735,Debit,1900,Outright
APPL.L,TD,2017-04-16,2017-04-19,ICP3523,Credit,200,Outright
APPL.N,TD,2016-10-28,2016-10-31,ICP5495,Debit,1200,Outright
IBM.N,SD,2016-06-19,2016-06-19,ICP4265,Credit,1700,Outright
GOOGL.L,TD,2016-03-05,2016-03-08,ICP6681,Debit,1700,Outright
GOOGL.L,TD,2016-09-21,2016-09-24,ICP6084,Debit,700,Outright
GOOGL.OQ,TD,2016-11-14,2016-11-17,ICP2905,Credit,400,Outright
DIS.OQ,TD,2017-06-09,2017-06-12,ICP4579,Credit,800,Outright
FB.N,SD,2016-09-15,2016-09-15,ICP7715,Debit,1900,Outright
AMZN.L,TD,2016-07-03,2016-07-06,ICP7872,Credit,700,Outright
FB.OQ,SD,2017-10-08,2017-10-08,ICP8284,Credit,1100,Outright
IBM.L,SD,2017-11-07,2017-11-07,ICP7792,Debit,1600,Outright
GOOGL.L,SD,2017-03-27,2017-03-27,ICP6763,Debit,900,Outright
AMZN.L,SD,2016-11-15,2016-11-15,ICP7812,Debit,500,Outright
APPL.N,TD,2017-09-28,2017-10-01,ICP2541,Credit,600,Outright
AMZN.N,SD,2017-10-06,2017-10-06,ICP3009,Credit,100,Outright
AMZN.OQ,TD,2016-10-09,2016-10-12,ICP3466,Debit,500,Outright
APPL.L,TD,2016-03-24,2016-03-27,ICP3350,Credit,1300,Outright
DIS.OQ,SD,2016-02-13,2016-02-13,ICP9856,Debit,600,Outright
FB.OQ,SD,2016-09-12,2016-09-12,ICP2556,Debit,1000,Outright
TSLA.OQ,SD,2016-03-20,2016-03-20,ICP3858,Credit,300,Outright
DIS.OQ,TD,2017-09-27,2017-09-30,ICP0289,Debit,300,Outright
GOOGL.OQ,SD,2017-12-19,2017-12-19,ICP6999,Credit,1600,Outright
DIS.N,SD,2017-12-19,2017-12-19,ICP5333,Debit,1600,Outright
GOOGL.OQ,SD,2016-12-05,2016-12-05,ICP4314,Debit,300,Outright
GOOGL.N,TD,2017-01-27,2017-01-30,ICP8111,Debit,1400,Outright
IBM.OQ,TD,2016-11-06,2016-11-09,ICP4374,Debit,1600,Outright
AMZN.OQ,TD,2016-10-06,2016-10-09,ICP0218,Debit,700,Outright
F.N,SD,2016-05-03,2016-05-03,ICP6162,Credit,200,Outright
TSLA.N,TD,2016-02-13,2016-02-16,ICP2613,Debit,1400,Outright
FB.N,SD,2017-12-25,2017-12-25,ICP1760,Debit,1500,Outright
GOOGL.L,TD,2017-05-13,2017-05-16,ICP5206,Debit,1000,Outright
IBM.N,TD,2017-01-09,2017-01-12,ICP7234,Credit,1800,Outright
TSLA.OQ,TD,2017-02-07,2017-02-10,ICP0696,Credit,1900,Outright
IBM.N,TD,2016-06-23,2016-06-26,ICP1788,Debit,1200,Outright
GOOGL.L,SD,2016-12-15,2016-12-15,ICP8739,Credit,400,Outright
TSLA.N,SD,2016-06-23,2016-06-23,ICP3622,Debit,1700,Outright
TSLA.L,SD,2017-11-02,2017-11-02,ICP8620,Credit,600,Outright
DIS.OQ,TD,2017-03-27,2017-03-30,ICP6962,Debit,900,Outright
TSLA.L,TD,2017-04-01,2017-04-04,ICP3328,Debit,500,Outright
TSLA.N,SD,2016-02-25,2016-02-25,ICP1524,Credit,1200,Outright
IBM.N,SD,2016-10-27,2016-10-27,ICP7256,Debit,700,Outright
APPL.OQ,TD,2017-12-06,2017-12-09,ICP7942,Credit,1100,Outright
GOOGL.OQ,SD,2017-09-08,2017-09-08,ICP6298,Debit,1100,Outright
AMZN.OQ,SD,2016-07-14,2016-07-14,ICP8106,Debit,900,Outright
FB.L,TD,2017-10-02,2017-10-05,ICP0791,Credit,2000,Outright
GOOGL.OQ,TD,2016-07-16,2016-07-19,ICP4934,Credit,1000,Outright
F.N,TD,2016-05-28,2016-05-31,ICP9077,Credit,600,Outright
DIS.N,SD,2016-12-23,2016-12-23,ICP6617,Debit,500,Outright
DIS.N,SD,2017-12-23,2017-12-23,ICP9783,Debit,1400,Outright
IBM.N,SD,2016-06-28,2016-06-28,ICP7652,Credit,900,Outright
IBM.OQ,SD,2017-07-19,2017-07-19,ICP1420,Debit,1800,Outright
IBM.OQ,TD,2017-09-18,2017-09-21,ICP2843,Debit,300,Outright
GOOGL.N,TD,2016-07-03,2016-07-06,ICP7549,Debit,400,Outright
F.N,SD,2017-05-12,2017-05-12,ICP8987,Debit,300,Outright
DIS.N,SD,2017-03-04,2017-03-04,ICP2749,Credit,700,Outright
GOOGL.OQ,SD,2017-11-26,2017-11-26,ICP7551,Debit,400,Outright
DIS.N,TD,2017-07-14,2017-07-17,ICP8611,Credit,600,Outright
DIS.L,TD,2016-01-26,2016-01-29,ICP6409,Debit,800,Outright
F.N,TD,2017-03-25,2017-03-28,ICP4048,Credit,1200,Outright
DIS.N,SD,2017-03-26,2017-03-26,ICP0991,Debit,1800,Outright
IBM.OQ,TD,2016-04-14,2016-04-17,ICP4552,Credit,1000,Outright
GOOGL.N,SD,2016-12-21,2016-12-21,ICP2371,Debit,400,Outright
TSLA.L,TD,2016-11-09,2016-11-12,ICP7172,Debit,200,Outright
DIS.N,SD,2016-02-28,2016-02-28,ICP4174,Credit,100,Outright
F.L,TD,2016-06-19,2016-06-22,ICP0656,Credit,700,Outright
IBM.N,TD,2017-02-23,2017-02-26,ICP2254,Debit,1400,Outright
DIS.OQ,TD,2017-02-24,2017-02-27,ICP0650,Debit,1900,Outright
FB.N,SD,2017-04-19,2017-04-19,ICP2593,Credit,900,Outright
FB.OQ,SD,2016-08-17,2016-08-17,ICP7015,Debit,2000,Outright
GOOGL.L,TD,2016-03-13,2016-03-16,ICP1073,Debit,1600,Outright
TSLA.L,SD,2017-05-14,2017-05-14,ICP3509,Credit,700,Outright
IBM.L,SD,2017-11-21,2017-11-21,ICP2067,Credit,1900,Outright
F.OQ,SD,2017-02-14,2017-02-14,ICP4550,Debit,700,Outright
IBM.N,TD,2016-04-08,2016-04-11,ICP6307,Credit,900,Outright
F.N,SD,2016-02-15,2016-02-15,ICP7031,Debit,800,Outright
IBM.OQ,SD,2016-02-18,2016-02-18,ICP3807,Credit,900,Outright
AMZN.N,SD,2016-01-12,2016-01-12,ICP4668,Credit,1800,Outright
AMZN.L,SD,2016-10-25,2016-10-25,ICP1216,Debit,400,Outright
FB.N,SD,2017-01-07,2017-01-07,ICP7857,Credit,1100,Outright
F.L,SD,2016-07-28,2016-07-28,ICP0047,Debit,1600,Outright
GOOGL.OQ,SD,2017-08-24,2017-08-24,ICP8849,Credit,300,Outright
DIS.L,SD,2016-06-08,2016-06-08,ICP2393,Credit,100,Outright
F.N,TD,2016-11-11,2016-11-14,ICP2764,Credit,800,Outright
FB.N,SD,2017-12-20,2017-12-20,ICP8304,Debit,500,Outright
IBM.OQ,SD,2016-06-15,2016-06-15,ICP2065,Credit,1700,Outright
GOOGL.N,TD,2017-03-26,2017-03-29,ICP3253,Credit,1300,Outright
AMZN.L,TD,2016-02-09,2016-02-12,ICP3393,Credit,1200,Outright
APPL.N,SD,2016-10-16,2016-10-16,ICP4241,Credit,2000,Outright
IBM.N,SD,2016-12-27,2016-12-27,ICP8892,Debit,1400,Outright
IBM.OQ,TD,2016-09-24,2016-09-27,ICP4441,Credit,1200,Outright
F.OQ,TD,2016-10-03,2016-10-06,ICP6824,Debit,1400,Outright
FB.OQ,TD,2016-07-05,2016-07-08,ICP8735,Debit,900,Outright
DIS.N,TD,2016-08-06,2016-08-09,ICP9774,Credit,100,Outright
TSLA.N,SD,2016-10-18,2016-10-18,ICP5641,Credit,1200,Outright
APPL.N,SD,2016-06-18,2016-06-18,ICP4581,Debit,200,Outright
FB.OQ,TD,2016-09-16,2016-09-19,ICP4956,Debit,1600,Outright
APPL.N,TD,2017-12-16,2017-12-19,ICP7331,Debit,1400,Outright
FB.N,SD,2017-10-24,2017-10-24,ICP0159,Credit,1900,Outright
FB.L,SD,2017-10-03,2017-10-03,ICP4271,Debit,200,Outright
AMZN.N,TD,2017-09-06,2017-09-09,ICP6443,Debit,1600,Outright
DIS.N,SD,2017-12-09,2017-12-09,ICP1748,Credit,1500,Outright
DIS.L,SD,2017-07-11,2017-07-11,ICP6238,Credit,200,Outright
F.OQ,SD,2016-03-18,2016-03-18,ICP7201,Debit,600,Outright
DIS.N,TD,2016-11-21,2016-11-24,ICP0619,Credit,500,Outright
AMZN.L,TD,2016-01-28,2016-01-31,ICP0552,Credit,200,Outright
APPL.L,SD,2017-01-19,2017-01-19,ICP2789,Debit,100,Outright
FB.OQ,TD,2017-07-22,2017-07-25,ICP8779,Debit,1500,Outright
AMZN.L,TD,2017-02-16,2017-02-19,ICP8687,Debit,1600,Outright
FB.N,TD,2017-02-07,2017-02-10,ICP6762,Debit,1600,Outright
AMZN.N,SD,2016-01-09,2016-01-09,ICP8283,Credit,800,Outright
TSLA.L,TD,2017-07-28,2017-07-31,ICP1060,Credit,1800,Outright
IBM.OQ,TD,2017-01-14,2017-01-17,ICP0223,Credit,600,Outright
TSLA.OQ,TD,2016-05-27,2016-05-30,ICP5739,Debit,1200,Outright
FB.OQ,SD,2017-06-21,2017-06-21,ICP5635,Credit,600,Outright
AMZN.N,SD,2017-11-19,2017-11-19,ICP1192,Debit,2000,Outright
F.N,SD,2016-10-21,2016-10-21,ICP4666,Debit,1100,Outright
IBM.L,TD,2016-02-11,2016-02-14,ICP9599,Debit,2000,Outright
FB.OQ,TD,2016-08-14,2016-08-17,ICP6412,Credit,1900,Outright
APPL.N,SD,2016-03-26,2016-03-26,ICP2056,Credit,600,Outright
F.N,TD,2017-08-16,2017-08-19,ICP8919,Debit,2000,Outright
TSLA.L,SD,2016-08-12,2016-08-12,ICP3896,Debit,900,Outright
DIS.L,SD,2016-01-22,2016-01-22,ICP7181,Credit,1700,Outright
DIS.OQ,TD,2017-05-05,2017-05-08,ICP5817,Credit,1400,Outright
F.L,SD,2016-01-25,2016-01-25,ICP2228,Credit,1100,Outright
FB.L,TD,2016-06-28,2016-07-01,ICP0620,Debit,1800,Outright
TSLA.N,TD,2017-10-19,2017-10-22,ICP6961,Credit,900,Outright
IBM.OQ,SD,2017-10-12,2017-10-12,ICP5882,Credit,1000,Outright
F.N,SD,2017-02-02,2017-02-02,ICP4680,Credit,600,Outright
DIS.OQ,TD,2017-03-10,2017-03-13,ICP5642,Debit,100,Outright
TSLA.OQ,SD,2016-06-23,2016-06-23,ICP0296,Credit,1100,Outright
F.N,SD,2016-04-01,2016-04-01,ICP4320,Debit,1100,Outright
F.OQ,SD,2017-02-17,2017-02-17,ICP1920,Credit,1400,Outright
FB.OQ,SD,2017-11-04,2017-11-04,ICP2234,Debit,2000,Outright
APPL.OQ,SD,2017-07-09,2017-07-09,ICP7891,Debit,1400,Outright
AMZN.L,TD,2016-07-13,2016-07-16,ICP6869,Credit,900,Outright
IBM.L,TD,2017-05-09,2017-05-12,ICP5181,Debit,2000,Outright
APPL.L,TD,2017-06-23,2017-06-26,ICP2463,Debit,1800,Outright
TSLA.N,SD,2016-10-12,2016-10-12,ICP8071,Debit,400,Outright
APPL.OQ,TD,2017-09-18,2017-09-21,ICP1637,Credit,300,Outright
GOOGL.N,SD,2017-12-03,2017-12-03,ICP6943,Credit,2000,Outright
F.N,SD,2017-02-27,2017-02-27,ICP8228,Debit,400,Outright
DIS.L,SD,2017-04-24,2017-04-24,ICP5923,Credit,1700,Outright
GOOGL.L,SD,2017-07-01,2017-07-01,ICP4088,Credit,1900,Outright
F.OQ,TD,2016-12-07,2016-12-10,ICP6825,Credit,500,Outright
F.L,TD,2017-10-26,2017-10-29,ICP8044,Credit,1200,Outright
FB.OQ,SD,2016-11-24,2016-11-24,ICP3819,Credit,100,Outright
GOOGL.N,TD,2016-02-28,2016-03-02,ICP9119,Debit,1800,Outright
DIS.OQ,SD,2017-05-21,2017-05-21,ICP3957,Debit,900,Outright
DIS.N,SD,2017-09-11,2017-09-11,ICP8262,Debit,100,Outright
IBM.OQ,SD,2016-09-26,2016-09-26,ICP1503,Debit,1000,Outright
F.OQ,TD,2017-06-08,2017-06-11,ICP0123,Debit,700,Outright
AMZN.OQ,TD,2017-10-19,2017-10-22,ICP0050,Credit,1600,Outright
APPL.L,SD,2016-03-03,2016-03-03,ICP2826,Debit,1500,Outright
F.N,SD,2016-11-16,2016-11-16,ICP3118,Credit,1700,Outright
DIS.N,TD,2016-03-20,2016-03-23,ICP6108,Credit,1000,Outright
AMZN.L,SD,2016-01-17,2016-01-17,ICP2086,Debit,500,Outright
IBM.L,SD,2017-08-24,2017-08-24,ICP0891,Credit,1700,Outright
DIS.OQ,TD,2017-09-17,2017-09-20,ICP8228,Credit,1100,Outright
FB.L,SD,2016-05-26,2016-05-26,ICP4568,Credit,1900,Outright
AMZN.L,SD,2016-09-14,2016-09-14,ICP2079,Debit,500,Outright
DIS.N,SD,2016-05-09,2016-05-09,ICP2068,Credit,1000,Outright
APPL.N,TD,2017-09-27,2017-09-30,ICP4893,Debit,1800,Outright
FB.N,TD,2017-11-09,2017-11-12,ICP7913,Credit,1700,Outright
F.OQ,TD,2017-08-03,2017-08-06,ICP0439,Credit,1500,Outright
FB.N,SD,2017-06-02,2017-06-02,ICP0819,Debit,1200,Outright
APPL.OQ,TD,2017-04-26,2017-04-29,ICP7229,Debit,1300,Outright
FB.L,SD,2016-03-22,2016-03-22,ICP4676,Credit,700,Outright
DIS.L,SD,2016-07-21,2016-07-21,ICP0235,Debit,1300,Outright
F.N,SD,2016-04-03,2016-04-03,ICP9478,Debit,2000,Outright
FB.OQ,SD,2016-02-20,2016-02-20,ICP7653,Credit,1100,Outright
AMZN.L,TD,2017-03-15,2017-03-18,ICP7744,Credit,1100,Outright
TSLA.N,SD,2016-03-18,2016-03-18,ICP5436,Debit,1400,Outright
AMZN.N,SD,2016-11-13,2016-11-13,ICP0329,Credit,300,Outright
FB.L,TD,2017-08-23,2017-08-26,ICP4525,Debit,300,Outright
DIS.OQ,SD,2017-07-19,2017-07-19,ICP6773,Credit,600,Outright
FB.N,TD,2016-12-17,2016-12-20,ICP7315,Debit,100,Outright
F.N,TD,2016-03-11,2016-03-14,ICP2089,Credit,400,Outright
GOOGL.N,TD,2016-01-12,2016-01-15,ICP1581,Debit,1200,Outright
AMZN.N,SD,2016-06-26,2016-06-26,ICP0588,Credit,600,Outright
APPL.OQ,SD,2016-05-22,2016-05-22,ICP6800,Credit,1600,Outright
